code,lastname,firstname,sei,namae,email_address,company_mobie,gender,date_of_birth,date_of_joining_company,main_category,sub_category,minor_category,classification,position,monthly_basic_salary,qualifications
SF336433,阿部,拓斗,abe,takuto,abe_takuto1@tekuwan.co.jp,030-6240-1102,男性,1969/4/5,1992/4/1,営業本部,本社営業部,本社営業第一課,正社員,執行役員本部長,"1,500,000",
SF804749,笠原,さくら,kasahara,sakura,kasahara_sakura2@tekuwan.co.jp,030-4399-5580,女性,1978/10/3,2001/4/1,営業本部,本社営業部,本社営業第一課,正社員,部長,"950,000",
SF132536,大谷,健太郎,ootani,kentarou,ootani_kentarou3@tekuwan.co.jp,030-4831-6394,男性,1978/7/15,2002/4/1,営業本部,本社営業部,本社営業第一課,正社員,課長,"750,000",
SF980410,小泉,悠翔,koizumi,yuushou,koizumi_yuushou4@tekuwan.co.jp,030-2029-3630,男性,1985/3/4,2008/4/1,営業本部,本社営業部,本社営業第一課,正社員,チームリーダー,"600,000",
SF245733,古賀,達也,koga,tatsuya,koga_tatsuya5@tekuwan.co.jp,030-1254-4955,男性,1983/10/21,2008/4/1,営業本部,本社営業部,本社営業第一課,正社員,チームリーダー,"600,000",
SF975053,長谷川,悠也,hasegawa,yuuya,hasegawa_yuuya1@tekuwan.co.jp,030-0720-1214,男性,1984/1/28,2008/4/1,営業本部,本社営業部,本社営業第一課,正社員,チームリーダー,"600,000",
SF987900,近藤,みゆき,kondou,miyuki,kondou_miyuki2@tekuwan.co.jp,030-7452-7870,女性,1987/3/11,2011/4/1,営業本部,本社営業部,本社営業第一課,正社員,チームリーダー,"550,000",
SF893443,岩本,駿,iwamoto,shun,iwamoto_shun3@tekuwan.co.jp,030-9440-8898,男性,1988/6/24,2012/4/1,営業本部,本社営業部,本社営業第一課,正社員,チームリーダー,"600,000",
SF451540,井上,陽介,inoue,yousuke,inoue_yousuke4@tekuwan.co.jp,030-5220-1202,男性,1989/3/19,2012/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF165826,宮崎,次郎,miyazaki,jirou,miyazaki_jirou5@tekuwan.co.jp,030-0720-2994,男性,1990/4/18,2013/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF838535,宮本,悠希,miyamoto,yuuki,miyamoto_yuuki1@tekuwan.co.jp,030-9837-0438,男性,1992/1/23,2014/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF353046,渡辺,悠翔,watanabe,yuushou,watanabe_yuushou2@tekuwan.co.jp,030-3258-1942,男性,1992/2/6,2014/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",宅建
SF799978,北川,啓太,kitagawa,keita,kitagawa_keita3@tekuwan.co.jp,030-0152-6005,男性,1991/5/28,2014/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF734705,沢田,健,sawada,takeshi,sawada_takeshi4@tekuwan.co.jp,030-1420-8605,男性,1991/5/21,2014/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF347685,小松,まりな,komatsu,marina,komatsu_marina5@tekuwan.co.jp,030-9150-1664,女性,1992/2/17,2014/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF951348,阿部,龍太郎,abe,ryuutarou,abe_ryuutarou1@tekuwan.co.jp,030-7536-7021,男性,1992/4/6,2016/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF092236,高木,達也,takagi,tatsuya,takagi_tatsuya2@tekuwan.co.jp,030-6858-4255,男性,1993/5/10,2016/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF956796,石井,さきみ,ishii,sakimi,ishii_sakimi3@tekuwan.co.jp,030-9797-5502,女性,1993/4/6,2016/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF617270,村上,愛理,murakami,eri,murakami_eri4@tekuwan.co.jp,030-7345-9232,女性,1992/12/30,2016/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF100362,森,京子,mori,kyouko,mori_kyouko5@tekuwan.co.jp,030-9281-9006,女性,1995/6/14,2018/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF138233,片山,啓太,katayama,keita,katayama_keita1@tekuwan.co.jp,030-5078-9890,男性,1996/10/13,2020/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF254324,市川,大介,ichikawa,daisuke,ichikawa_daisuke2@tekuwan.co.jp,030-8663-7625,男性,1996/3/10,2020/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF329041,大塚,直樹,ootsuka,naoki,ootsuka_naoki3@tekuwan.co.jp,030-4286-7857,男性,1997/5/18,2020/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF658251,前田,勇太,maeda,yuuta,maeda_yuuta4@tekuwan.co.jp,030-7400-9169,男性,1996/4/1,2020/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF474250,岩井,かおり,iwai,kaori,iwai_kaori5@tekuwan.co.jp,030-6384-0844,女性,1998/3/9,2020/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF991934,宮崎,みさ,miyazaki,misa,miyazaki_misa1@tekuwan.co.jp,030-0608-2589,女性,1997/9/21,2020/4/1,営業本部,本社営業部,本社営業第一課,正社員,チーフ,"450,000",
SF614259,矢野,次郎,yano,jirou,yano_jirou2@tekuwan.co.jp,030-9382-8700,男性,1994/7/28,2017/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"400,000",
SF264963,北川,大河,kitagawa,taiga,kitagawa_taiga3@tekuwan.co.jp,030-5809-2014,男性,1995/2/27,2017/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"400,000",
SF110046,市川,大作,ichikawa,taisaku,ichikawa_taisaku4@tekuwan.co.jp,030-9642-5198,男性,1994/8/10,2017/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"400,000",
SF372373,高山,瑛斗,kouzan,eito,kouzan_eito5@tekuwan.co.jp,030-2334-2491,男性,1994/12/23,2017/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"400,000",
SF616595,中山,悠希,nakayama,yuuki,nakayama_yuuki1@tekuwan.co.jp,030-4725-3322,男性,1994/8/22,2017/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"400,000",
SF572199,関口,翼,sekiguchi,tsubasa,sekiguchi_tsubasa2@tekuwan.co.jp,030-9568-1738,男性,1994/11/18,2017/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"400,000",
SF329808,小野,まな,ono,mana,ono_mana3@tekuwan.co.jp,030-8583-4555,女性,1994/7/3,2017/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"400,000",
SF074961,森,凛,mori,rin,mori_rin4@tekuwan.co.jp,030-1358-7142,女性,1994/7/19,2017/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"400,000",
SF546573,菅原,悟,sugawara,satoshi,sugawara_satoshi5@tekuwan.co.jp,030-1126-2750,男性,1995/6/24,2018/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"375,000",
SF385192,大野,陽大,oono,youdai,oono_youdai1@tekuwan.co.jp,030-3962-4799,男性,1995/10/18,2018/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"375,000",
SF866453,小松,悠輝,komatsu,yuuki,komatsu_yuuki2@tekuwan.co.jp,030-0892-2922,男性,1995/6/21,2018/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"375,000",
SF211754,杉山,陽向,sugiyama,youkou,sugiyama_youkou3@tekuwan.co.jp,030-1442-0530,男性,1995/5/21,2018/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"375,000",
SF133583,関口,大樹,sekiguchi,taiju,sekiguchi_taiju4@tekuwan.co.jp,030-7405-0074,男性,1995/11/7,2018/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"375,000",
SF375949,笠原,健太郎,kasahara,kentarou,kasahara_kentarou5@tekuwan.co.jp,030-9563-8873,男性,1995/6/21,2018/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"375,000",
SF969438,平田,隼人,hirata,hayato,hirata_hayato1@tekuwan.co.jp,030-6560-4779,男性,1996/10/23,2019/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"350,000",
SF302102,岩田,龍太郎,iwata,ryuutarou,iwata_ryuutarou2@tekuwan.co.jp,030-9602-8798,男性,1996/9/5,2019/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"350,000",
SF544342,中川,大介,nakagawa,daisuke,nakagawa_daisuke3@tekuwan.co.jp,030-3947-6029,男性,1996/10/24,2019/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"350,000",
SF876982,村上,勇太,murakami,yuuta,murakami_yuuta4@tekuwan.co.jp,030-9374-1467,男性,1996/9/8,2019/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"350,000",
SF583636,関口,隼人,sekiguchi,hayato,sekiguchi_hayato5@tekuwan.co.jp,030-3309-0900,男性,1996/7/9,2019/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"350,000",
SF062763,岡本,蓮,okamoto,hasu,okamoto_hasu1@tekuwan.co.jp,030-7962-1354,男性,1996/9/11,2019/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"350,000",
SF869352,宮本,悠希,miyamoto,yuuki,miyamoto_yuuki2@tekuwan.co.jp,030-3709-9391,男性,1996/6/12,2019/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"350,000",
SF497843,関口,雄介,sekiguchi,yuusuke,sekiguchi_yuusuke3@tekuwan.co.jp,030-0633-2648,男性,1996/6/22,2019/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"350,000",
SF272763,佐野,悠里,sano,yuuri,sano_yuuri4@tekuwan.co.jp,030-0425-7351,女性,1996/9/28,2019/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"350,000",
SF542478,河野,莉子,kouno,riko,kouno_riko5@tekuwan.co.jp,030-3231-3208,女性,1996/7/26,2019/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"350,000",
SF100526,江口,美和,eguchi,miwa,eguchi_miwa1@tekuwan.co.jp,030-6070-7972,女性,1996/4/21,2019/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"350,000",
SF991703,田村,えりか,tamura,erika,tamura_erika2@tekuwan.co.jp,030-3672-2437,女性,1996/9/9,2019/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"350,000",
SF375078,岡本,美優,okamoto,miyu,okamoto_miyu3@tekuwan.co.jp,030-5830-5488,女性,1997/2/2,2019/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"350,000",
SF005591,井上,美紀,inoue,miki,inoue_miki4@tekuwan.co.jp,030-6524-3174,女性,1996/12/19,2019/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"350,000",
SF001897,大西,さきみ,oonishi,sakimi,oonishi_sakimi5@tekuwan.co.jp,030-6314-8606,女性,1996/12/5,2019/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"350,000",
SF700634,金子,慎之介,kaneko,shinnosuke,kaneko_shinnosuke1@tekuwan.co.jp,030-4692-1911,男性,1997/12/15,2020/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"325,000",
SF843172,宮本,和也,miyamoto,kazuya,miyamoto_kazuya2@tekuwan.co.jp,030-7420-4068,男性,1997/8/15,2020/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"325,000",
SF181822,平田,陽翔,hirata,youshou,hirata_youshou3@tekuwan.co.jp,030-8805-0679,男性,1997/11/23,2020/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"325,000",
SF090969,久保,慎太郎,kubo,shintarou,kubo_shintarou4@tekuwan.co.jp,030-8896-9729,男性,1998/1/30,2020/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"325,000",
SF631256,関口,大和,sekiguchi,yamato,sekiguchi_yamato5@tekuwan.co.jp,030-1191-9081,男性,1997/4/4,2020/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"325,000",宅建
SF244380,水野,悠人,mizuno,yuuto,mizuno_yuuto1@tekuwan.co.jp,030-4648-0105,男性,1997/9/2,2020/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"325,000",
SF812760,中山,まな,nakayama,mana,nakayama_mana2@tekuwan.co.jp,030-1543-9790,女性,1997/11/11,2020/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"325,000",
SF272712,杉本,あやか,sugimoto,ayaka,sugimoto_ayaka3@tekuwan.co.jp,030-9303-8544,女性,1997/11/15,2020/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"325,000",
SF103399,片山,悠斗,katayama,yuuto,katayama_yuuto4@tekuwan.co.jp,030-9414-9941,男性,1998/6/5,2021/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"300,000",
SF167821,中島,大悟,nakajima,daigo,nakajima_daigo5@tekuwan.co.jp,030-9011-8818,男性,1998/9/14,2021/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"300,000",
SF292180,大石,颯太,ooishi,fuuta,ooishi_fuuta1@tekuwan.co.jp,030-1605-4551,男性,1998/8/26,2021/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"300,000",
SF188166,樋口,陽一,higuchi,youichi,higuchi_youichi2@tekuwan.co.jp,030-5977-7877,男性,1998/5/21,2021/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"300,000",
SF993368,小西,りさ,konishi,risa,konishi_risa3@tekuwan.co.jp,030-2107-2727,女性,1998/9/1,2021/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"300,000",
SF487201,小川,えりか,ogawa,erika,ogawa_erika4@tekuwan.co.jp,030-6367-6207,女性,1998/6/2,2021/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"300,000",
SF713779,橋本,悠希,hashimoto,yuuki,hashimoto_yuuki5@tekuwan.co.jp,030-1783-1446,男性,1999/6/19,2022/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"275,000",
SF442016,佐野,陽太,sano,youta,sano_youta1@tekuwan.co.jp,030-1644-3150,男性,2000/1/11,2022/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"275,000",
SF940025,野村,悠斗,nomura,yuuto,nomura_yuuto2@tekuwan.co.jp,030-9609-1140,男性,1999/10/3,2022/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"275,000",
SF687166,古川,大樹,furukawa,taiju,furukawa_taiju3@tekuwan.co.jp,030-3553-3301,男性,2000/3/6,2022/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"275,000",
SF957363,松本,颯太,matsumoto,fuuta,matsumoto_fuuta4@tekuwan.co.jp,030-9241-9915,男性,1999/7/25,2022/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"275,000",
SF840351,江口,隼人,eguchi,hayato,eguchi_hayato5@tekuwan.co.jp,030-8986-3234,男性,2000/1/12,2022/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"275,000",
SF187023,永井,なつ,nagai,natsu,nagai_natsu1@tekuwan.co.jp,030-7090-0964,女性,1999/5/8,2022/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"275,000",
SF582652,山本,さくら,yamamoto,sakura,yamamoto_sakura2@tekuwan.co.jp,030-7745-5091,女性,1999/6/23,2022/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"275,000",
SF443953,橋本,絵美,hashimoto,emi,hashimoto_emi3@tekuwan.co.jp,030-5468-8414,女性,1999/9/14,2022/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"275,000",
SF049339,北川,みさ,kitagawa,misa,kitagawa_misa4@tekuwan.co.jp,030-3226-0959,女性,2000/2/10,2022/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"275,000",
SF320877,岡田,悠一,okada,yuuichi,okada_yuuichi5@tekuwan.co.jp,030-4124-2902,男性,2000/11/30,2023/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"250,000",
SF964317,笠原,健太郎,kasahara,kentarou,kasahara_kentarou1@tekuwan.co.jp,030-3134-6960,男性,2000/7/5,2023/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"250,000",
SF001370,樋口,颯太,higuchi,fuuta,higuchi_fuuta2@tekuwan.co.jp,030-5151-4788,男性,2000/8/18,2023/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"250,000",
SF492654,山本,大悟,yamamoto,daigo,yamamoto_daigo3@tekuwan.co.jp,030-7262-5974,男性,2000/6/22,2023/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"250,000",
SF610512,大野,悠人,oono,yuuto,oono_yuuto4@tekuwan.co.jp,030-9157-6451,男性,2000/4/5,2023/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"250,000",
SF749558,宮崎,達也,miyazaki,tatsuya,miyazaki_tatsuya5@tekuwan.co.jp,030-3097-0060,男性,2000/11/4,2023/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"250,000",
SF352692,松田,慎吾,matsuda,shingo,matsuda_shingo1@tekuwan.co.jp,030-5416-9702,男性,2001/1/11,2023/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"250,000",
SF559764,鈴木,悠人,suzuki,yuuto,suzuki_yuuto2@tekuwan.co.jp,030-6255-8852,男性,2001/3/12,2023/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"250,000",
SF415606,藤田,悠真,fujita,yuuma,fujita_yuuma3@tekuwan.co.jp,030-0894-6457,男性,2000/6/26,2023/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"250,000",
SF971349,中山,智也,nakayama,tomoya,nakayama_tomoya4@tekuwan.co.jp,030-2460-2969,男性,2000/6/7,2023/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"250,000",
SF454830,清水,大介,shimizu,daisuke,shimizu_daisuke5@tekuwan.co.jp,030-6722-2352,男性,2000/5/27,2023/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"250,000",
SF052441,山本,梨花,yamamoto,rika,yamamoto_rika1@tekuwan.co.jp,030-6139-6014,女性,2001/3/20,2023/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"250,000",
SF737089,近藤,美和,kondou,miwa,kondou_miwa2@tekuwan.co.jp,030-0565-2831,女性,2000/9/6,2023/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"250,000",
SF350810,菊池,莉子,kikuchi,riko,kikuchi_riko3@tekuwan.co.jp,030-3193-5944,女性,2001/2/9,2023/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"250,000",
SF590004,菊地,愛理,kikuchi,eri,kikuchi_eri4@tekuwan.co.jp,030-9084-2692,女性,2000/11/18,2023/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"250,000",
SF359385,北川,さつき,kitagawa,satsuki,kitagawa_satsuki5@tekuwan.co.jp,030-3108-2523,女性,2000/8/11,2023/4/1,営業本部,本社営業部,本社営業第一課,正社員,,"250,000",
R886502,佐々木,悠斗,sasaki,yuuto,sasaki_yuuto1@tekuwan.co.jp,030-5144-8695,男性,1976/10/5,2018/4/1,営業本部,本社営業部,本社営業第一課,契約社員,,"180,000",
R217085,今井,大悟,imai,daigo,imai_daigo2@tekuwan.co.jp,030-2529-3240,男性,1993/8/29,2019/4/1,営業本部,本社営業部,本社営業第一課,契約社員,,"190,000",
R288338,本田,悠一,honda,yuuichi,honda_yuuichi3@tekuwan.co.jp,030-1489-6431,男性,1985/3/18,2020/4/1,営業本部,本社営業部,本社営業第一課,契約社員,,"195,000",
R429699,大森,蓮,oomori,hasu,oomori_hasu4@tekuwan.co.jp,030-4016-1179,男性,1982/9/5,2021/4/1,営業本部,本社営業部,本社営業第一課,契約社員,,"195,000",
R952193,中島,悠里,nakajima,yuuri,nakajima_yuuri5@tekuwan.co.jp,030-1657-3307,女性,1988/6/28,2021/4/1,営業本部,本社営業部,本社営業第一課,契約社員,,"190,000",
R877881,橋本,陽翔,hashimoto,youshou,hashimoto_youshou1@tekuwan.co.jp,030-3947-4714,男性,1979/2/9,2022/4/1,営業本部,本社営業部,本社営業第一課,契約社員,,"190,000",
R707641,白井,凛,shirai,rin,shirai_rin2@tekuwan.co.jp,030-8516-7906,女性,1984/3/19,2022/4/1,営業本部,本社営業部,本社営業第一課,契約社員,,"180,000",
R808589,小川,佳奈,ogawa,kana,ogawa_kana3@tekuwan.co.jp,030-3504-5959,女性,1994/1/12,2023/4/1,営業本部,本社営業部,本社営業第一課,契約社員,,"180,000",
K437911,加藤,真太,katou,makotota,katou_makotota4@tekuwan.co.jp,030-6623-8683,男性,1959/1/25,1981/4/1,営業本部,本社営業部,本社営業第一課,嘱託社員,,"180,000",
K490206,野村,悠翔,nomura,yuushou,nomura_yuushou5@tekuwan.co.jp,030-3570-2611,男性,1961/4/7,1984/4/1,営業本部,本社営業部,本社営業第一課,嘱託社員,,"180,000",
K132500,河野,夏樹,kouno,natsuki,kouno_natsuki1@tekuwan.co.jp,030-6083-7572,男性,1962/12/7,1985/4/1,営業本部,本社営業部,本社営業第一課,嘱託社員,,"180,000",
P314720,井上,凛,inoue,rin,inoue_rin2@tekuwan.co.jp,030-5368-4831,女性,1982/1/9,2014/1/1,営業本部,本社営業部,本社営業第一課,パート,,,
P067380,高橋,さつき,takahashi,satsuki,takahashi_satsuki3@tekuwan.co.jp,030-5432-6833,女性,1973/3/31,2018/10/1,営業本部,本社営業部,本社営業第一課,パート,,,
P308430,大西,雅也,oonishi,masaya,oonishi_masaya4@tekuwan.co.jp,030-2518-2784,男性,1990/8/28,2022/5/1,営業本部,本社営業部,本社営業第一課,パート,,,
P341504,岩井,りな,iwai,rina,iwai_rina5@tekuwan.co.jp,030-2604-3328,女性,2000/9/25,2022/5/1,営業本部,本社営業部,本社営業第一課,パート,,,宅建
P989356,片山,みゆき,katayama,miyuki,katayama_miyuki1@tekuwan.co.jp,030-1268-6855,女性,1977/11/1,2022/10/1,営業本部,本社営業部,本社営業第一課,パート,,,
P945283,河野,美優,kouno,miyu,kouno_miyu2@tekuwan.co.jp,030-8593-9775,女性,1979/12/31,2023/9/1,営業本部,本社営業部,本社営業第一課,パート,,,
P910406,野村,葵,nomura,aoi,nomura_aoi3@tekuwan.co.jp,030-4652-5806,女性,1984/9/6,2024/1/1,営業本部,本社営業部,本社営業第一課,パート,,,
SF019468,伊藤,健太郎,itou,kentarou,itou_kentarou4@tekuwan.co.jp,030-5721-4722,男性,1979/3/3,2002/4/1,営業本部,本社営業部,本社営業第二課,正社員,課長,"750,000",
SF984944,笠原,陽大,kasahara,youdai,kasahara_youdai5@tekuwan.co.jp,030-6149-9219,男性,1983/6/6,2008/4/1,営業本部,本社営業部,本社営業第二課,正社員,チームリーダー,"600,000",
SF027999,大塚,まな,ootsuka,mana,ootsuka_mana1@tekuwan.co.jp,030-1713-1239,女性,1982/8/15,2008/4/1,営業本部,本社営業部,本社営業第二課,正社員,チームリーダー,"550,000",
SF797386,本田,大作,honda,taisaku,honda_taisaku2@tekuwan.co.jp,030-9664-3921,男性,1986/11/2,2011/4/1,営業本部,本社営業部,本社営業第二課,正社員,チームリーダー,"600,000",
SF458681,藤田,大悟,fujita,daigo,fujita_daigo3@tekuwan.co.jp,030-5006-7367,男性,1987/3/5,2011/4/1,営業本部,本社営業部,本社営業第二課,正社員,チームリーダー,"550,000",
SF661045,佐野,みさと,sano,misato,sano_misato4@tekuwan.co.jp,030-8172-2953,女性,1987/5/7,2011/4/1,営業本部,本社営業部,本社営業第二課,正社員,チームリーダー,"600,000",
SF988876,富田,陽一,tomita,youichi,tomita_youichi5@tekuwan.co.jp,030-0967-8993,男性,1989/11/6,2012/4/1,営業本部,本社営業部,本社営業第二課,正社員,チームリーダー,"600,000",
SF764202,長谷川,大作,hasegawa,taisaku,hasegawa_taisaku1@tekuwan.co.jp,030-8030-6328,男性,1990/7/13,2014/4/1,営業本部,本社営業部,本社営業第二課,正社員,チームリーダー,"600,000",
SF298666,石井,隼人,ishii,hayato,ishii_hayato2@tekuwan.co.jp,030-1105-7143,男性,1990/2/25,2013/4/1,営業本部,本社営業部,本社営業第二課,正社員,チーフ,"450,000",
SF096344,岡本,達也,okamoto,tatsuya,okamoto_tatsuya3@tekuwan.co.jp,030-7553-7909,男性,1989/7/9,2013/4/1,営業本部,本社営業部,本社営業第二課,正社員,チーフ,"450,000",
SF718137,小林,健,kobayashi,takeshi,kobayashi_takeshi4@tekuwan.co.jp,030-9297-4693,男性,1990/8/17,2013/4/1,営業本部,本社営業部,本社営業第二課,正社員,チーフ,"450,000",
SF969255,中村,拓斗,nakamura,takuto,nakamura_takuto5@tekuwan.co.jp,030-2965-0386,男性,1990/9/5,2013/4/1,営業本部,本社営業部,本社営業第二課,正社員,チーフ,"450,000",
SF740950,小松,優衣,komatsu,yui,komatsu_yui1@tekuwan.co.jp,030-1478-8286,女性,1991/6/30,2014/4/1,営業本部,本社営業部,本社営業第二課,正社員,チーフ,"450,000",
SF301131,小泉,まゆ,koizumi,mayu,koizumi_mayu2@tekuwan.co.jp,030-9837-5521,女性,1990/10/7,2014/4/1,営業本部,本社営業部,本社営業第二課,正社員,チーフ,"450,000",
SF060159,永井,大作,nagai,taisaku,nagai_taisaku3@tekuwan.co.jp,030-7486-0197,男性,1992/11/13,2016/4/1,営業本部,本社営業部,本社営業第二課,正社員,チーフ,"450,000",
SF165707,桜井,悠希,sakurai,yuuki,sakurai_yuuki4@tekuwan.co.jp,030-8090-6321,男性,1993/2/14,2016/4/1,営業本部,本社営業部,本社営業第二課,正社員,チーフ,"450,000",
